,Latitude,longitude,
1,89.28422753,0,
2,88.35700352,0.9375,
3,87.42430375,1.875,
4,86.49036677,2.8125,
5,85.55596048,3.75,
6,84.62132711,4.6875,
7,83.68656682,5.625,
8,82.75172847,6.5625,
9,81.81683873,7.5,
10,80.88191335,8.4375,
11,79.94696225,9.375,
12,79.01199198,10.3125,
13,78.07700705,11.25,
14,77.14201066,12.1875,
15,76.20700512,13.125,
16,75.27199218,14.0625,
17,74.33697317,15,
18,73.40194911,15.9375,
19,72.46692081,16.875,
20,71.53188891,17.8125,
21,70.59685394,18.75,
22,69.66181631,19.6875,
23,68.72677638,20.625,
24,67.79173443,21.5625,
25,66.85669072,22.5,
26,65.92164545,23.4375,
27,64.9865988,24.375,
28,64.05155091,25.3125,
29,63.11650191,26.25,
30,62.18145192,27.1875,
31,61.24640103,28.125,
32,60.31134933,29.0625,
33,59.3762969,30,
34,58.44124379,30.9375,
35,57.50619007,31.875,
36,56.57113579,32.8125,
37,55.636081,33.75,
38,54.70102573,34.6875,
39,53.76597003,35.625,
40,52.83091393,36.5625,
41,51.89585745,37.5,
42,50.96080063,38.4375,
43,50.02574349,39.375,
44,49.09068605,40.3125,
45,48.15562834,41.25,
46,47.22057036,42.1875,
47,46.28551215,43.125,
48,45.3504537,44.0625,
49,44.41539505,45,
50,43.4803362,45.9375,
51,42.54527717,46.875,
52,41.61021796,47.8125,
53,40.67515858,48.75,
54,39.74009906,49.6875,
55,38.80503939,50.625,
56,37.86997958,51.5625,
57,36.93491964,52.5,
58,35.99985958,53.4375,
59,35.06479941,54.375,
60,34.12973913,55.3125,
61,33.19467875,56.25,
62,32.25961827,57.1875,
63,31.3245577,58.125,
64,30.38949705,59.0625,
65,29.45443631,60,
66,28.5193755,60.9375,
67,27.58431461,61.875,
68,26.64925366,62.8125,
69,25.71419264,63.75,
70,24.77913156,64.6875,
71,23.84407042,65.625,
72,22.90900923,66.5625,
73,21.97394799,67.5,
74,21.0388867,68.4375,
75,20.10382536,69.375,
76,19.16876398,70.3125,
77,18.23370256,71.25,
78,17.29864111,72.1875,
79,16.36357961,73.125,
80,15.42851809,74.0625,
81,14.49345653,75,
82,13.55839495,75.9375,
83,12.62333334,76.875,
84,11.68827171,77.8125,
85,10.75321005,78.75,
86,9.818148372,79.6875,
87,8.883086676,80.625,
88,7.948024964,81.5625,
89,7.012963238,82.5,
90,6.077901499,83.4375,
91,5.142839748,84.375,
92,4.207777989,85.3125,
93,3.272716221,86.25,
94,2.337654448,87.1875,
95,1.40259267,88.125,
96,0.46753089,89.0625,
97,-0.46753089,90,
98,-1.40259267,90.9375,
99,-2.337654448,91.875,
100,-3.272716221,92.8125,
101,-4.207777989,93.75,
102,-5.142839748,94.6875,
103,-6.077901499,95.625,
104,-7.012963238,96.5625,
105,-7.948024964,97.5,
106,-8.883086676,98.4375,
107,-9.818148372,99.375,
108,-10.75321005,100.3125,
109,-11.68827171,101.25,
110,-12.62333334,102.1875,
111,-13.55839495,103.125,
112,-14.49345653,104.0625,
113,-15.42851809,105,
114,-16.36357961,105.9375,
115,-17.29864111,106.875,
116,-18.23370256,107.8125,
117,-19.16876398,108.75,
118,-20.10382536,109.6875,
119,-21.0388867,110.625,
120,-21.97394799,111.5625,
121,-22.90900923,112.5,
122,-23.84407042,113.4375,
123,-24.77913156,114.375,
124,-25.71419264,115.3125,
125,-26.64925366,116.25,
126,-27.58431461,117.1875,
127,-28.5193755,118.125,
128,-29.45443631,119.0625,
129,-30.38949705,120,
130,-31.3245577,120.9375,
131,-32.25961827,121.875,
132,-33.19467875,122.8125,
133,-34.12973913,123.75,
134,-35.06479941,124.6875,
135,-35.99985958,125.625,
136,-36.93491964,126.5625,
137,-37.86997958,127.5,
138,-38.80503939,128.4375,
139,-39.74009906,129.375,
140,-40.67515858,130.3125,
141,-41.61021796,131.25,
142,-42.54527717,132.1875,
143,-43.4803362,133.125,
144,-44.41539505,134.0625,
145,-45.3504537,135,
146,-46.28551215,135.9375,
147,-47.22057036,136.875,
148,-48.15562834,137.8125,
149,-49.09068605,138.75,
150,-50.02574349,139.6875,
151,-50.96080063,140.625,
152,-51.89585745,141.5625,
153,-52.83091393,142.5,
154,-53.76597003,143.4375,
155,-54.70102573,144.375,
156,-55.636081,145.3125,
157,-56.57113579,146.25,
158,-57.50619007,147.1875,
159,-58.44124379,148.125,
160,-59.3762969,149.0625,
161,-60.31134933,150,
162,-61.24640103,150.9375,
163,-62.18145192,151.875,
164,-63.11650191,152.8125,
165,-64.05155091,153.75,
166,-64.9865988,154.6875,
167,-65.92164545,155.625,
168,-66.85669072,156.5625,
169,-67.79173443,157.5,
170,-68.72677638,158.4375,
171,-69.66181631,159.375,
172,-70.59685394,160.3125,
173,-71.53188891,161.25,
174,-72.46692081,162.1875,
175,-73.40194911,163.125,
176,-74.33697317,164.0625,
177,-75.27199218,165,
178,-76.20700512,165.9375,
179,-77.14201066,166.875,
180,-78.07700705,167.8125,
181,-79.01199198,168.75,
182,-79.94696225,169.6875,
183,-80.88191335,170.625,
184,-81.81683873,171.5625,
185,-82.75172847,172.5,
186,-83.68656682,173.4375,
187,-84.62132711,174.375,
188,-85.55596048,175.3125,
189,-86.49036677,176.25,
190,-87.42430375,177.1875,
191,-88.35700352,178.125,
192,-89.28422753,179.0625,
193,89.28422753,180,
194,88.35700352,180.9375,
195,87.42430375,181.875,
196,86.49036677,182.8125,
197,85.55596048,183.75,
198,84.62132711,184.6875,
199,83.68656682,185.625,
200,82.75172847,186.5625,
201,81.81683873,187.5,
202,80.88191335,188.4375,
203,79.94696225,189.375,
204,79.01199198,190.3125,
205,78.07700705,191.25,
206,77.14201066,192.1875,
207,76.20700512,193.125,
208,75.27199218,194.0625,
209,74.33697317,195,
210,73.40194911,195.9375,
211,72.46692081,196.875,
212,71.53188891,197.8125,
213,70.59685394,198.75,
214,69.66181631,199.6875,
215,68.72677638,200.625,
216,67.79173443,201.5625,
217,66.85669072,202.5,
218,65.92164545,203.4375,
219,64.9865988,204.375,
220,64.05155091,205.3125,
221,63.11650191,206.25,
222,62.18145192,207.1875,
223,61.24640103,208.125,
224,60.31134933,209.0625,
225,59.3762969,210,
226,58.44124379,210.9375,
227,57.50619007,211.875,
228,56.57113579,212.8125,
229,55.636081,213.75,
230,54.70102573,214.6875,
231,53.76597003,215.625,
232,52.83091393,216.5625,
233,51.89585745,217.5,
234,50.96080063,218.4375,
235,50.02574349,219.375,
236,49.09068605,220.3125,
237,48.15562834,221.25,
238,47.22057036,222.1875,
239,46.28551215,223.125,
240,45.3504537,224.0625,
241,44.41539505,225,
242,43.4803362,225.9375,
243,42.54527717,226.875,
244,41.61021796,227.8125,
245,40.67515858,228.75,
246,39.74009906,229.6875,
247,38.80503939,230.625,
248,37.86997958,231.5625,
249,36.93491964,232.5,
250,35.99985958,233.4375,
251,35.06479941,234.375,
252,34.12973913,235.3125,
253,33.19467875,236.25,
254,32.25961827,237.1875,
255,31.3245577,238.125,
256,30.38949705,239.0625,
257,29.45443631,240,
258,28.5193755,240.9375,
259,27.58431461,241.875,
260,26.64925366,242.8125,
261,25.71419264,243.75,
262,24.77913156,244.6875,
263,23.84407042,245.625,
264,22.90900923,246.5625,
265,21.97394799,247.5,
266,21.0388867,248.4375,
267,20.10382536,249.375,
268,19.16876398,250.3125,
269,18.23370256,251.25,
270,17.29864111,252.1875,
271,16.36357961,253.125,
272,15.42851809,254.0625,
273,14.49345653,255,
274,13.55839495,255.9375,
275,12.62333334,256.875,
276,11.68827171,257.8125,
277,10.75321005,258.75,
278,9.818148372,259.6875,
279,8.883086676,260.625,
280,7.948024964,261.5625,
281,7.012963238,262.5,
282,6.077901499,263.4375,
283,5.142839748,264.375,
284,4.207777989,265.3125,
285,3.272716221,266.25,
286,2.337654448,267.1875,
287,1.40259267,268.125,
288,0.46753089,269.0625,
289,-0.46753089,270,
290,-1.40259267,270.9375,
291,-2.337654448,271.875,
292,-3.272716221,272.8125,
293,-4.207777989,273.75,
294,-5.142839748,274.6875,
295,-6.077901499,275.625,
296,-7.012963238,276.5625,
297,-7.948024964,277.5,
298,-8.883086676,278.4375,
299,-9.818148372,279.375,
300,-10.75321005,280.3125,
301,-11.68827171,281.25,
302,-12.62333334,282.1875,
303,-13.55839495,283.125,
304,-14.49345653,284.0625,
305,-15.42851809,285,
306,-16.36357961,285.9375,
307,-17.29864111,286.875,
308,-18.23370256,287.8125,
309,-19.16876398,288.75,
310,-20.10382536,289.6875,
311,-21.0388867,290.625,
312,-21.97394799,291.5625,
313,-22.90900923,292.5,
314,-23.84407042,293.4375,
315,-24.77913156,294.375,
316,-25.71419264,295.3125,
317,-26.64925366,296.25,
318,-27.58431461,297.1875,
319,-28.5193755,298.125,
320,-29.45443631,299.0625,
321,-30.38949705,300,
322,-31.3245577,300.9375,
323,-32.25961827,301.875,
324,-33.19467875,302.8125,
325,-34.12973913,303.75,
326,-35.06479941,304.6875,
327,-35.99985958,305.625,
328,-36.93491964,306.5625,
329,-37.86997958,307.5,
330,-38.80503939,308.4375,
331,-39.74009906,309.375,
332,-40.67515858,310.3125,
333,-41.61021796,311.25,
334,-42.54527717,312.1875,
335,-43.4803362,313.125,
336,-44.41539505,314.0625,
337,-45.3504537,315,
338,-46.28551215,315.9375,
339,-47.22057036,316.875,
340,-48.15562834,317.8125,
341,-49.09068605,318.75,
342,-50.02574349,319.6875,
343,-50.96080063,320.625,
344,-51.89585745,321.5625,
345,-52.83091393,322.5,
346,-53.76597003,323.4375,
347,-54.70102573,324.375,
348,-55.636081,325.3125,
349,-56.57113579,326.25,
350,-57.50619007,327.1875,
351,-58.44124379,328.125,
352,-59.3762969,329.0625,
353,-60.31134933,330,
354,-61.24640103,330.9375,
355,-62.18145192,331.875,
356,-63.11650191,332.8125,
357,-64.05155091,333.75,
358,-64.9865988,334.6875,
359,-65.92164545,335.625,
360,-66.85669072,336.5625,
361,-67.79173443,337.5,
362,-68.72677638,338.4375,
363,-69.66181631,339.375,
364,-70.59685394,340.3125,
365,-71.53188891,341.25,
366,-72.46692081,342.1875,
367,-73.40194911,343.125,
368,-74.33697317,344.0625,-15.9375
369,-75.27199218,345,-15
370,-76.20700512,345.9375,-14.0625
371,-77.14201066,346.875,-13.125
372,-78.07700705,347.8125,-12.1875
373,-79.01199198,348.75,-11.25
374,-79.94696225,349.6875,-10.3125
375,-80.88191335,350.625,-9.375
376,-81.81683873,351.5625,-8.4375
377,-82.75172847,352.5,-7.5
378,-83.68656682,353.4375,-6.5625
379,-84.62132711,354.375,-5.625
380,-85.55596048,355.3125,-4.6875
381,-86.49036677,356.25,-3.75
382,-87.42430375,357.1875,-2.8125
383,-88.35700352,358.125,-1.875
384,-89.28422753,359.0625,-0.9375
